country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","28-06-2026 02:00:00",28.674045,77.131023,OZONE,28,66,38
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","28-06-2026 02:00:00",28.656756,77.227234,CO,109,132,122
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","28-06-2026 02:00:00",28.656756,77.227234,OZONE,50,95,66
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","28-06-2026 02:00:00",28.5504249,77.2159377,PM2.5,62,211,96
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","28-06-2026 02:00:00",28.5504249,77.2159377,NO2,11,26,16
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","28-06-2026 02:00:00",28.5504249,77.2159377,CO,8,64,45
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","28-06-2026 02:00:00",28.5504249,77.2159377,OZONE,8,48,20
India,Delhi,Delhi,"DTU, Delhi - CPCB","28-06-2026 02:00:00",28.7500499,77.1112615,PM10,78,180,127
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","28-06-2026 02:00:00",28.498571,77.26484,PM10,89,308,160
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","28-06-2026 02:00:00",28.62181,77.1944633,NO2,4,43,20
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","28-06-2026 02:00:00",28.62181,77.1944633,NH3,3,5,4
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","28-06-2026 02:00:00",28.62181,77.1944633,CO,22,67,49
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","28-06-2026 02:00:00",28.594169,77.1251,PM2.5,15,146,44
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","28-06-2026 02:00:00",28.594004,76.909423,SO2,0,4,2
India,Delhi,Delhi,"Bawana, Delhi - DPCC","28-06-2026 02:00:00",28.7762,77.051074,NH3,3,17,6
India,Delhi,Delhi,"Bawana, Delhi - DPCC","28-06-2026 02:00:00",28.7762,77.051074,SO2,3,11,7
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-06-2026 02:00:00",28.58028,77.233829,NO2,18,96,43
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-06-2026 02:00:00",28.58028,77.233829,NH3,12,21,16
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-06-2026 02:00:00",28.636429,77.201067,PM10,57,196,146
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","28-06-2026 02:00:00",28.636429,77.201067,SO2,3,61,34
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","28-06-2026 02:00:00",28.60909,77.0325413,NO2,18,90,46
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","28-06-2026 02:00:00",28.530785,77.271255,NO2,11,77,36
