system:index,tropospheric_HCHO_column_number_density,.geo
93,1.8372749332212798E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,10.195878474756569]}"
94,1.7499900856064225E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,10.195878474756569]}"
95,1.3922184643904456E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,10.195878474756569]}"
96,1.1668135253018593E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,10.195878474756569]}"
97,1.6743889024738973E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,10.195878474756569]}"
98,1.579117838417391E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,10.195878474756569]}"
99,1.6460985131942177E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,10.195878474756569]}"
100,1.5440354035437567E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00682923831191,10.195878474756569]}"
101,1.668412924958728E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,10.285710003168521]}"
102,1.6138882938851272E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,10.285710003168521]}"
103,1.765594432488111E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,10.285710003168521]}"
104,1.8483681531759118E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,10.285710003168521]}"
105,1.6268289383199115E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,10.285710003168521]}"
106,1.677191137945522E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,10.285710003168521]}"
107,1.6598729897024093E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,10.285710003168521]}"
108,1.656429038443398E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,10.285710003168521]}"
109,1.7942503773545374E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,10.375541531580472]}"
110,1.7729738707712196E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,10.375541531580472]}"
111,1.704590414930226E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,10.375541531580472]}"
112,1.6750877013105338E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,10.375541531580472]}"
113,1.9790915756876453E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,10.465373059992425]}"
114,1.7667508342604312E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,10.465373059992425]}"
115,1.698191856347882E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,10.465373059992425]}"
116,1.5873634916386937E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,10.465373059992425]}"
117,1.3889598615876518E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72548146560753,10.465373059992425]}"
118,2.1014959276135063E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,10.555204588404377]}"
119,1.9573580501441317E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,10.555204588404377]}"
120,2.0762957035966865E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,10.555204588404377]}"
121,1.6028309580398207E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,10.555204588404377]}"
122,1.6612221608372602E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,10.555204588404377]}"
123,1.5274299739359296E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09666076672387,10.555204588404377]}"
124,1.650294594855565E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,10.555204588404377]}"
